"Chromosome","Frame","N","Min","Q1","Median","Mean","Q3","Max","SD","P95","P99","Q_1Kb","Q_5Kb","Q_10Kb"
"NC_071994.2","-1",2244086,3,15,39,58.5322861958054,78,6051,72.7466571497926,177,309,"Q100","Q100","Q100"
"NC_071994.2","-2",2253340,3,15,39,58.2780343845137,75,5979,72.6477837358104,177,306,"Q100","Q100","Q100"
"NC_071994.2","-3",2252647,3,15,39,58.2941805795582,75,14517,72.9718037068449,177,306,"Q100","Q100","Q100"
"NC_071995.2","1",2227717,3,15,36,56.2046938637179,75,9150,65.1046199594913,171,288,"Q100","Q100","Q100"
"NC_071995.2","2",2225908,3,15,36,56.251326649619,75,11283,65.688758286341,171,291,"Q100","Q100","Q100"
"NC_071995.2","3",2230658,3,15,36,56.1246336282837,75,5988,64.6866362917087,171,288,"Q100","Q100","Q100"
"NC_071995.2","-1",2227970,3,15,36,56.1979155913231,75,9150,65.0080777837909,171,288,"Q100","Q100","Q100"
"NC_071995.2","-2",2230282,3,15,36,56.1346340955987,75,6558,64.7791991621025,171,288,"Q100","Q100","Q100"
"NC_071995.2","-3",2229201,3,15,36,56.1641292104211,75,9135,64.8424971628737,171,288,"Q100","Q100","Q100"
"NC_071996.2","1",2421037,3,15,36,57.2065069637515,72,10134,81.6668211987089,171,303,"Q100","Q100","Q100"
"NC_071996.2","2",2426236,3,15,36,57.0772769013402,72,10947,80.3337336645362,171,303,"Q100","Q100","Q100"
"NC_071996.2","3",2426504,3,15,36,57.0674674346303,72,9531,80.6058163938496,171,303,"Q100","Q100","Q100"
"NC_071996.2","-1",2451864,3,15,36,56.4545566148856,75,17238,75.0297397559727,171,294,"Q100","Q100","Q100"
"NC_071996.2","-2",2449286,3,15,36,56.5175095925914,75,7011,74.6987744565777,171,294,"Q100","Q100","Q100"
"NC_071996.2","-3",2449529,3,15,36,56.5106830741746,75,4959,73.7307618436331,171,294,"Q100","Q100","Q100"
"NC_071997.2","1",2089142,3,15,39,60.5746741963926,78,1000197,697.241941748152,180,321,"Q100","Q100","Q100"
"NC_071997.2","2",2094918,3,15,39,60.3999970404569,78,1000191,696.377265030841,180,318,"Q100","Q100","Q100"
"NC_071997.2","3",2092344,3,15,39,60.4757888760166,78,1000386,696.939912075566,180,318,"Q100","Q100","Q100"
"NC_071997.2","-1",2100809,3,15,39,60.232027280919,78,1000359,694.980215676716,180,315,"Q100","Q100","Q100"
"NC_071997.2","-2",2102692,3,15,39,60.1742513882204,78,1000107,694.698175409235,180,315,"Q100","Q100","Q100"
"NC_071997.2","-3",2102048,3,15,39,60.1904699607241,78,1000329,694.631196273414,180,315,"Q100","Q100","Q100"
"NC_071998.2","1",2049337,3,15,39,60.073848761819,78,1000110,703.168282317357,180,318,"Q100","Q100","Q100"
"NC_071998.2","2",2050188,3,15,39,60.0454894868178,78,1000278,703.151315092419,180,318,"Q100","Q100","Q100"
"NC_071998.2","3",2043920,3,15,39,60.2425545031117,78,1000158,704.154675232771,180,318,"Q100","Q100","Q100"
"NC_071998.2","-1",2062612,3,15,39,59.6748826245557,78,1000113,700.514533909402,180,312,"Q100","Q100","Q100"
"NC_071998.2","-2",2062570,3,15,39,59.6763096525209,78,1000227,700.53546496969,180,312,"Q100","Q100","Q100"
"NC_071998.2","-3",2067515,3,15,39,59.5255318582937,78,1000134,699.544515162801,180,312,"Q100","Q100","Q100"
"NC_071999.2","1",1983481,3,15,36,57.6080184282077,72,1000299,715.106507403881,171,306,"Q100","Q100","Q100"
"NC_071999.2","2",1978451,3,15,36,57.7651278702379,72,1000131,716.007349882498,171,306,"Q100","Q100","Q100"
"NC_071999.2","3",1983817,3,15,36,57.5988531200207,72,1000137,714.886647200454,171,303,"Q100","Q100","Q100"
"NC_071999.2","-1",1989734,3,15,36,57.4266535124797,72,1000098,713.783380413673,171,303,"Q100","Q100","Q100"
"NC_071999.2","-2",1987304,3,15,36,57.5015473224027,72,1000149,714.499100862816,168,303,"Q100","Q100","Q100"
"NC_071999.2","-3",1987749,3,15,36,57.4878498240976,72,1000728,714.527407525395,171,303,"Q100","Q100","Q100"
"NC_072000.2","1",1726089,3,15,39,61.5639355792198,78,1000038,766.799164615597,183,336,"Q100","Q100","Q100"
"NC_072000.2","2",1726777,3,15,39,61.5362076284315,78,1000359,766.780001584894,183,336,"Q100","Q100","Q100"
"NC_072000.2","3",1721733,3,15,39,61.7283690328292,78,1000347,768.002889355332,183,339,"Q100","Q100","Q100"
"NC_072000.2","-1",1734203,3,15,39,61.2678631048383,78,1000179,764.686649533813,180,327,"Q100","Q100","Q100"
"NC_072000.2","-2",1738538,3,15,39,61.1067322083268,78,1000101,763.574337173359,180,327,"Q100","Q100","Q100"
"NC_072000.2","-3",1738725,3,15,39,61.0991950998576,78,1000404,763.741054183993,180,327,"Q100","Q100","Q100"
"NC_072001.2","1",1633089,3,18,39,61.3293917232925,78,1000149,786.841473621382,183,324,"Q100","Q100","Q100"
"NC_072001.2","2",1634190,3,18,39,61.2840177702715,78,1000086,786.47330258015,183,324,"Q100","Q100","Q100"
"NC_072001.2","3",1633680,3,15,39,61.3061627736154,78,1000308,786.802601240499,183,324,"Q100","Q100","Q100"
"NC_072001.2","-1",1638922,3,18,39,61.1073339670833,78,1000407,785.564710924959,183,318,"Q100","Q100","Q100"
"NC_072001.2","-2",1638632,3,18,39,61.1193873914338,78,1000146,785.375400152747,183,318,"Q100","Q100","Q100"
"NC_072001.2","-3",1638307,3,18,39,61.1309052576837,78,1000086,785.389894852114,183,315,"Q100","Q100","Q100"
"NC_072002.2","1",1523180,3,15,36,59.4873422707756,75,1000521,815.152127697182,174,318,"Q100","Q100","Q100"
"NC_072002.2","2",1522224,3,15,36,59.5259587288073,75,1000107,815.07993311207,174,318,"Q100","Q100","Q100"
"NC_072002.2","3",1525456,3,15,36,59.3921227488698,75,1000437,814.42964439055,174,318,"Q100","Q100","Q100"
"NC_072002.2","-1",1529746,3,15,39,59.2381460713085,75,1000449,812.770748716005,174,306,"Q100","Q100","Q100"
"NC_072002.2","-2",1533743,3,15,36,59.0760166468568,75,1000425,811.7791496613,174,306,"Q100","Q100","Q100"
"NC_072002.2","-3",1531120,3,15,36,59.1825480693872,75,1000590,812.573525493563,174,306,"Q100","Q100","Q100"
"NC_072003.2","1",1336371,3,18,42,63.8568922851513,84,46869,84.7647403133514,195,333,"Q100","Q100","Q100"
"NC_072003.2","2",1334501,3,18,42,63.9521431606271,84,47706,85.3634666014438,195,333,"Q100","Q100","Q100"
"NC_072003.2","3",1333305,3,18,42,64.0113267406932,84,46545,84.1444027067684,195,333,"Q100","Q100","Q100"
"NC_072003.2","-1",1335279,3,18,42,63.9030891671329,84,46650,85.0114058765987,195,339,"Q100","Q100","Q100"
"NC_072003.2","-2",1339591,3,18,42,63.6825904324529,84,46302,84.8581094430446,195,339,"Q100","Q100","Q100"
"NC_072003.2","-3",1337001,3,18,42,63.8108206351379,84,46362,85.0342019943888,195,339,"Q100","Q100","Q100"
"NC_072004.2","1",1439412,3,18,42,65.3754025949485,84,9657,76.7682387364774,204,354,"Q100","Q100","Q100"
"NC_072004.2","2",1437594,3,18,42,65.4632497074974,84,7578,76.730616589951,204,354.210000000196,"Q100","Q100","Q100"
"NC_072004.2","3",1440641,3,18,42,65.3172934825539,84,9657,77.0567615497256,201,354,"Q100","Q100","Q100"
"NC_072004.2","-1",1438190,3,18,42,65.4534101891961,87,9603,76.5146485146559,201,351,"Q100","Q100","Q100"
"NC_072004.2","-2",1436847,3,18,42,65.5179577227081,87,9705,76.7291787787254,204,348,"Q100","Q100","Q100"
"NC_072004.2","-3",1435325,3,18,42,65.5899521014405,87,7578,76.2708759866692,204,351,"Q100","Q100","Q100"
"NC_072005.2","1",888436,3,21,45,70.4689949529285,93,23016,87.8698405029769,216,375,"Q100","Q100","Q100"
"NC_072005.2","2",891521,3,21,45,70.21447055089,90,22968,87.2511002752135,216,372,"Q100","Q100","Q100"
"NC_072005.2","3",888463,3,21,45,70.4651426114537,93,7236,84.1470714265685,216,378,"Q100","Q100","Q100"
"NC_072005.2","-1",861097,3,21,45,72.8152983926317,96,23064,93.2322890674449,228,384,"Q100","Q100","Q100"
"NC_072005.2","-2",862481,3,21,45,72.6934749866953,96,6495,86.6517817139193,228,381,"Q100","Q100","Q100"
"NC_072005.2","-3",861289,3,21,45,72.7991336241378,96,6306,88.0693683657852,228,384,"Q100","Q100","Q100"
"NC_072006.2","1",1039652,3,18,42,62.9811119489983,84,5955,70.7768464111861,189,321,"Q100","Q100","Q100"
"NC_072006.2","2",1037101,3,18,42,63.1448306384817,84,6114,70.8826019074237,189,321,"Q100","Q100","Q100"
"NC_072006.2","3",1036081,3,18,42,63.209187312575,84,4458,70.6554368215198,189,321,"Q100","Q100","Q100"
"NC_072006.2","-1",1046118,3,18,42,62.5341902156353,81,5019,72.1596831821838,186,324,"Q100","Q100","Q100"
"NC_072006.2","-2",1044399,3,18,42,62.6427198800458,81,6420,73.764385199978,186,327,"Q100","Q100","Q100"
"NC_072006.2","-3",1046701,3,18,42,62.4983113611241,81,5052,72.1650586472619,186,324,"Q100","Q100","Q100"
"NC_072007.2","1",831446,3,18,39,65.515855509558,78,1000917,1102.57684669472,186,363,"Q100","Q100","Q100"
"NC_072007.2","2",831622,3,18,39,65.5084834215545,78,1000089,1101.57294118549,186,363,"Q100","Q100","Q100"
"NC_072007.2","3",834020,3,18,39,65.3052121052253,78,1000296,1100.10385787605,183,360,"Q100","Q100","Q100"
"NC_072007.2","-1",860014,3,18,39,63.3003090647361,81,1000065,1082.19921362054,177,339,"Q100","Q100","Q100"
"NC_072007.2","-2",861777,3,18,39,63.1631651807835,81,1000029,1080.9751712846,177,339,"Q100","Q100","Q100"
"NC_072007.2","-3",859334,3,18,39,63.3503026762586,81,1000338,1082.95402001996,177,339,"Q100","Q100","Q100"
"NC_072008.2","1",2759984,3,15,36,55.7334028023351,75,10392,65.094344275482,168,285,"Q100","Q100","Q100"
"NC_072008.2","2",2756614,3,15,36,55.8052636313971,75,10248,64.9197460922482,168,285,"Q100","Q100","Q100"
"NC_072008.2","3",2759514,3,15,36,55.7438012635558,75,7950,65.4152862136778,168,285,"Q100","Q100","Q100"
"NC_072008.2","-1",2769164,3,15,36,55.5350557063431,75,8574,64.2245078029833,168,282,"Q100","Q100","Q100"
"NC_072008.2","-2",2775711,3,15,36,55.3976094773555,75,10260,64.4927603374429,168,279,"Q100","Q100","Q100"
"NC_072008.2","-3",2772822,3,15,36,55.4570102227983,75,10392,64.4100148873916,168,279,"Q100","Q100","Q100"
"NC_072009.2","1",862647,3,18,39,75.4613949854344,81,10578,157.331873526571,216,759,"Q100","Q100","Q100"
"NC_072009.2","2",862886,3,18,39,75.4360077692766,81,11748,156.927719091102,216,756,"Q100","Q100","Q100"
"NC_072009.2","3",862527,3,18,39,75.4681209979514,81,9372,156.303928064813,216,756,"Q100","Q100","Q100"
"NC_072009.2","-1",990196,3,18,42,65.3609770186912,84,10011,95.6842483020582,192,351,"Q100","Q100","Q100"
"NC_072009.2","-2",991100,3,18,42,65.2987165775401,84,15783,96.6890740101366,192,351,"Q100","Q100","Q100"
"NC_072009.2","-3",989481,3,18,42,65.4096450563477,84,18198,97.3285927586482,192,351,"Q100","Q100","Q100"
"NC_085928.1","1",3613139,3,15,36,54.8114916143553,72,8337,61.2059168269105,168,273,"Q100","Q100","Q100"
"NC_085928.1","2",3613155,3,15,36,54.810972128237,72,7953,61.1234538719486,168,273,"Q100","Q100","Q100"
"NC_085928.1","3",3609082,3,15,36,54.8778082625997,72,9006,61.5374623082851,168,273,"Q100","Q100","Q100"
"NC_085928.1","-1",3588250,3,15,36,55.2257381732042,75,8070,62.1068328966891,168,282,"Q100","Q100","Q100"
"NC_085928.1","-2",3586459,3,15,36,55.2540885034515,75,8343,62.1175886699719,168,282,"Q100","Q100","Q100"
"NC_085928.1","-3",3587453,3,15,36,55.2383378959947,75,9006,62.1195503732838,168,282,"Q100","Q100","Q100"
"NC_085929.1","1",684776,3,21,48,80.9400723740318,96,1000776,1216.80493142318,237,513,"Q100","Q100","Q100"
"NC_085929.1","2",689441,3,21,45,80.3731776903317,96,1000752,1212.6368929808,237,510,"Q100","Q100","Q100"
"NC_085929.1","3",690211,3,21,45,80.2751187680289,93,1000728,1211.83157810466,237,510,"Q100","Q100","Q100"
"NC_085929.1","-1",719260,3,21,45,76.939693573951,96,1000806,1185.60605044596,225,438,"Q100","Q100","Q100"
"NC_085929.1","-2",716444,3,21,45,77.2597676859601,96,1000344,1187.47824273529,225,438,"Q100","Q100","Q100"
"NC_085929.1","-3",719490,3,21,45,76.9165881388206,96,1000224,1184.65407876064,225,438,"Q100","Q100","Q100"
"NW_026946739.1","1",3099,3,21,45,68.3349467570184,84,4251,110.05700196486,201,318.06,"Q100","Q100","Q100"
"NW_026946739.1","2",3012,3,18,45,70.3754980079681,87,9444,201.318614210616,207,320.339999999999,"Q100","Q100","Q100"
"NW_026946739.1","3",2977,3,18,45,71.2405105811219,87,9618,192.154670173878,207.599999999999,324,"Q100","Q100","Q100"
"NW_026946739.1","-1",3102,3,18,45,68.2756286266925,81,9642,187.991359261251,203.849999999999,375,"Q100","Q100","Q100"
"NW_026946739.1","-2",3133,3,21,45,67.5777210341526,81,4449,108.873176487169,210,389.04,"Q100","Q100","Q100"
"NW_026946739.1","-3",3106,3,21,45,68.1986477784932,81,2352,88.631144012656,204,398.849999999999,"Q100","Q100","Q100"
"NW_026946740.1","1",1746,3,21,45,73.1855670103093,90,1056,90.8098043136188,233.25,458.549999999999,"Q100","Q100","Q100"
"NW_026946740.1","2",1862,3,18,45,68.4001074113856,87,924,77.281473019041,213,371.339999999999,"Q100","Q100","Q100"
"NW_026946740.1","3",1837,3,18,42,69.3598258029396,87,2433,98.6020344395203,225,397.92,"Q100","Q100","Q100"
"NW_026946740.1","-1",1782,3,21,45,71.5555555555556,93,2409,96.0308648680166,207,351,"Q100","Q100","Q100"
"NW_026946740.1","-2",1729,3,21,48,73.8802776171197,96,858,81.9291142114843,231,373.32,"Q100","Q100","Q100"
"NW_026946740.1","-3",1783,3,21,45,71.559730790802,90,2235,98.0495745698479,215.7,351.54,"Q100","Q100","Q100"
"NW_026946741.1","1",1367,3,18,48,81.0899780541331,90,8283,299.22270205747,212.1,322.02,"Q100","Q100","Q100"
"NW_026946741.1","2",1480,3,24,57,74.6831081081081,84,4233,146.31710535549,201,306,"Q100","Q100","Q100"
"NW_026946741.1","3",1412,3,18,48,78.4256373937677,87,10719,298.740983444146,214.35,308.67,"Q100","Q100","Q100"
"NW_026946741.1","-1",1713,3,24,45,64.1418563922942,75,3540,113.434247826496,186,393,"Q100","Q100","Q100"
"NW_026946741.1","-2",1512,3,18,45,73.0707671957672,78,6693,194.170007157704,215.7,398.67,"Q100","Q100","Q100"
"NW_026946741.1","-3",1536,3,21,45,71.8893229166667,78,5943,206.764668484445,201,397.95,"Q100","Q100","Q100"
"NW_026946742.1","1",4094,3,21,45,70.0256472887152,90,2214,86.8270004131286,213,390,"Q100","Q100","Q100"
"NW_026946742.1","2",4151,3,18,42,69.0139725367381,87,867,82.1080175848201,225,396,"Q100","Q100","Q100"
"NW_026946742.1","3",4202,3,21,45,68.1361256544503,87,1152,75.9873298677785,207,363,"Q100","Q100","Q100"
"NW_026946742.1","-1",3938,3,18,45,72.8902996444896,93,2124,99.4156952888241,228,399,"Q100","Q100","Q100"
"NW_026946742.1","-2",3920,3,21,45,73.243112244898,90,2448,99.6697523528208,228,391.86,"Q100","Q100","Q100"
"NW_026946742.1","-3",3871,3,18,48,74.1823818134849,93,2520,103.464446999336,228,390,"Q100","Q100","Q100"
"ALL","1",52884211,3,15,39,58.4648864667751,75,1000917,396.454994761379,177,306,"Q100","Q100","Q100"
"ALL","2",52891953,3,15,39,58.4556661955734,75,1000752,396.343040571225,177,306,"Q100","Q100","Q100"
"ALL","3",52885457,3,15,39,58.4631206269055,75,1000728,396.342524291549,177,306,"Q100","Q100","Q100"
"ALL","-1",53090631,3,15,39,58.2321536355442,75,1000806,395.053222202746,174,300,"Q100","Q100","Q100"
"ALL","-2",53128957,3,15,39,58.1875729839764,75,1000425,394.854756442078,174,300,"Q100","Q100","Q100"
"ALL","-3",53103902,3,15,39,58.2161085827562,75,1000728,394.974230123777,174,300,"Q100","Q100","Q100"
