"Chromosome","Frame","N","Min","Q1","Median","Mean","Q3","Max","SD","P95","P99","Q_1Kb","Q_5Kb","Q_10Kb"
"NC_072377.2","-3",3220020,3,15,36,54.6967257967342,72,3996,61.6041958178653,165,276,"Q100","Q100","Q100"
"NC_072378.2","1",2971849,3,15,36,54.4747731126312,72,14955,63.1666301861817,165,276,"Q100","Q100","Q100"
"NC_072378.2","2",2974072,3,15,36,54.4322706376981,72,15117,63.35356348952,165,276,"Q100","Q100","Q100"
"NC_072378.2","3",2977087,3,15,36,54.3736410793504,72,14793,62.7761048555837,165,276,"Q100","Q100","Q100"
"NC_072378.2","-1",2975153,3,15,36,54.4068869735439,72,12159,62.0984073661815,165,276,"Q100","Q100","Q100"
"NC_072378.2","-2",2978221,3,15,36,54.3479839138869,72,8619,61.5542970163395,165,276,"Q100","Q100","Q100"
"NC_072378.2","-3",2978480,3,15,36,54.3434950041632,72,11793,62.0975339226073,165,276,"Q100","Q100","Q100"
"NC_072379.2","1",2663902,3,15,36,56.332801657118,75,11115,65.9851365132302,171,294,"Q100","Q100","Q100"
"NC_072379.2","2",2661676,3,15,36,56.3827918950316,75,40470,72.3874571900585,171,294,"Q100","Q100","Q100"
"NC_072379.2","3",2669241,3,15,36,56.2131527276855,75,10110,65.6316897562298,171,291,"Q100","Q100","Q100"
"NC_072379.2","-1",2668957,3,15,36,56.225038470084,75,7200,64.9105295131151,171,291,"Q100","Q100","Q100"
"NC_072379.2","-2",2663026,3,15,36,56.3584471199304,75,7164,65.2896043816645,171,291,"Q100","Q100","Q100"
"NC_072379.2","-3",2661665,3,15,36,56.3877651770602,75,7083,65.9383678889458,171,291,"Q100","Q100","Q100"
"NC_072380.2","1",2656063,3,15,36,56.3624831188116,75,5745,68.2974586185615,171,291,"Q100","Q100","Q100"
"NC_072380.2","2",2654178,3,15,36,56.4063013106129,75,7662,68.2776935045089,171,291,"Q100","Q100","Q100"
"NC_072380.2","3",2651461,3,15,36,56.4665793688838,75,8037,68.5957202124925,171,291,"Q100","Q100","Q100"
"NC_072380.2","-1",2651496,3,15,36,56.4745728449147,75,10527,66.4462813213079,171,294,"Q100","Q100","Q100"
"NC_072380.2","-2",2650165,3,15,36,56.5030377353863,75,8037,66.6748732181655,171,294,"Q100","Q100","Q100"
"NC_072380.2","-3",2652387,3,15,36,56.4544710104521,75,7608,65.7960804541671,171,291,"Q100","Q100","Q100"
"NC_072381.2","1",2277375,3,15,39,57.949341676272,78,10128,66.3336448924965,177,297,"Q100","Q100","Q100"
"NC_072381.2","2",2275948,3,15,39,57.9858028390807,78,10827,66.4891975923343,177,297,"Q100","Q100","Q100"
"NC_072381.2","3",2273979,3,15,39,58.0399805802956,78,11079,67.0051305262408,177,297,"Q100","Q100","Q100"
"NC_072381.2","-1",2279479,3,15,39,57.9040684296719,78,8373,66.7693457287585,177,297,"Q100","Q100","Q100"
"NC_072381.2","-2",2282058,3,15,39,57.8358805954976,78,10725,67.1742642313345,177,297,"Q100","Q100","Q100"
"NC_072381.2","-3",2278349,3,15,39,57.9347733819533,78,10632,67.5752094105468,177,297,"Q100","Q100","Q100"
"NC_072382.2","1",2240909,3,15,39,57.978591277022,75,14238,70.8562056191164,177,303,"Q100","Q100","Q100"
"NC_072382.2","2",2237449,3,15,39,58.0714322427014,75,18072,72.0885118221992,177,303,"Q100","Q100","Q100"
"NC_072382.2","3",2235473,3,15,39,58.1273175744014,75,10323,70.4702915787124,177,303,"Q100","Q100","Q100"
"NC_072382.2","-1",2224970,3,15,39,58.4127332053915,75,7536,73.023064522161,177,309,"Q100","Q100","Q100"
"NC_072382.2","-2",2228392,3,15,39,58.3179889355194,75,14520,73.858757849204,177,309,"Q100","Q100","Q100"
"NC_072382.2","-3",2228699,3,15,39,58.30879225952,75,9702,72.8100530442463,177,306,"Q100","Q100","Q100"
"NC_072383.2","1",2229931,3,15,36,56.100597283055,75,5505,65.0760008959753,171,288,"Q100","Q100","Q100"
"NC_072383.2","2",2227993,3,15,36,56.1529596367673,75,11463,65.8082323898434,171,288,"Q100","Q100","Q100"
"NC_072383.2","3",2230564,3,15,36,56.0839523098194,75,8796,65.2793303077081,171,288,"Q100","Q100","Q100"
"NC_072383.2","-1",2229729,3,15,36,56.1058895498063,75,6114,64.6783999343865,171,288,"Q100","Q100","Q100"
"NC_072383.2","-2",2229428,3,15,36,56.1151555466245,75,8796,65.5654545645199,171,288,"Q100","Q100","Q100"
"NC_072383.2","-3",2230730,3,15,36,56.0795838133705,75,8808,65.2878367722677,171,288,"Q100","Q100","Q100"
"NC_072384.2","1",2405712,3,15,36,56.3696930472143,72,1000092,648.868719481033,168,291,"Q100","Q100","Q100"
"NC_072384.2","2",2405316,3,15,36,56.3808352000319,72,1000047,648.813266786224,168,291,"Q100","Q100","Q100"
"NC_072384.2","3",2407832,3,15,36,56.3173697334366,72,1000038,648.545370698381,168,291,"Q100","Q100","Q100"
"NC_072384.2","-1",2414786,3,15,36,56.1504667494345,72,1000476,647.657743560913,168,288,"Q100","Q100","Q100"
"NC_072384.2","-2",2417354,3,15,36,56.0887280059106,72,1000215,647.101230716486,168,288,"Q100","Q100","Q100"
"NC_072384.2","-3",2414454,3,15,36,56.1590429968846,72,1000032,647.521579960514,168,288,"Q100","Q100","Q100"
"NC_072385.2","1",2066201,3,15,39,61.8352764324477,78,1000239,702.222292740856,183,336,"Q100","Q100","Q100"
"NC_072385.2","2",2066861,3,15,39,61.814547277248,78,1000281,702.188862258251,183,336,"Q100","Q100","Q100"
"NC_072385.2","3",2066712,3,15,39,61.8182054393645,78,1000182,701.99370561676,183,336,"Q100","Q100","Q100"
"NC_072385.2","-1",2084992,3,15,39,61.253984667567,78,1000347,698.070461708514,183,324,"Q100","Q100","Q100"
"NC_072385.2","-2",2084723,3,15,39,61.2611450058353,78,1000182,698.059482241847,183,324,"Q100","Q100","Q100"
"NC_072385.2","-3",2084033,3,15,39,61.2828338130923,78,1000317,698.365637868082,183,324,"Q100","Q100","Q100"
"NC_072386.2","1",2043783,3,15,39,59.9351804961681,75,1000221,704.306321672972,177,318,"Q100","Q100","Q100"
"NC_072386.2","2",2042988,3,15,39,59.9607085308382,75,1000425,704.647136618538,177,318,"Q100","Q100","Q100"
"NC_072386.2","3",2042276,3,15,39,59.9819407367075,75,1000050,704.453806505584,180,318,"Q100","Q100","Q100"
"NC_072386.2","-1",2054779,3,15,39,59.6158258382045,78,1000554,702.016145968573,177,312,"Q100","Q100","Q100"
"NC_072386.2","-2",2056294,3,15,39,59.5693247171854,78,1000290,701.550044249225,177,309,"Q100","Q100","Q100"
"NC_072386.2","-3",2058383,3,15,39,59.50495996129,78,1000086,701.082365585198,177,309,"Q100","Q100","Q100"
"NC_072387.2","1",2022844,3,15,36,58.2688798543042,72,1000875,709.277032759365,171,309,"Q100","Q100","Q100"
"NC_072387.2","2",2027599,3,15,36,58.1242222944478,72,1001625,708.828795511345,171,309,"Q100","Q100","Q100"
"NC_072387.2","3",2026627,3,15,36,58.1539183085984,72,1001166,708.719381549856,171,309,"Q100","Q100","Q100"
"NC_072387.2","-1",2049635,3,15,36,57.4775420989591,72,1001676,704.220868645229,171,300,"Q100","Q100","Q100"
"NC_072387.2","-2",2049970,3,15,36,57.4681780708987,72,1002627,704.869436459853,171,300,"Q100","Q100","Q100"
"NC_072387.2","-3",2051521,3,15,36,57.4218874678836,72,1001010,703.58441652946,171,300,"Q100","Q100","Q100"
"NC_072388.2","1",1692750,3,15,39,59.6802339388569,75,1001133,773.791533313317,177,318,"Q100","Q100","Q100"
"NC_072388.2","2",1692015,3,15,39,59.7079452605325,75,1000860,773.780664108108,177,318,"Q100","Q100","Q100"
"NC_072388.2","3",1689106,3,15,39,59.8182393526516,75,1000884,774.539195716293,177,318,"Q100","Q100","Q100"
"NC_072388.2","-1",1692350,3,15,39,59.7105900079771,78,1001151,773.622615964939,177,312,"Q100","Q100","Q100"
"NC_072388.2","-2",1688855,3,15,39,59.8398933004906,78,1001076,774.457155018306,177,312,"Q100","Q100","Q100"
"NC_072388.2","-3",1689425,3,15,39,59.8186690737973,78,1000821,774.068992674158,177,312,"Q100","Q100","Q100"
"NC_072389.2","1",1613237,3,18,39,63.7098516832927,78,1001028,793.867623555634,189,345,"Q100","Q100","Q100"
"NC_072389.2","2",1611995,3,18,39,63.7645191207168,78,1000701,793.960558903883,189,345,"Q100","Q100","Q100"
"NC_072389.2","3",1614187,3,18,39,63.6720076422373,78,1000719,793.462733920998,189,345,"Q100","Q100","Q100"
"NC_072389.2","-1",1633973,3,18,39,62.870764082393,81,1001244,788.088444689277,186,333,"Q100","Q100","Q100"
"NC_072389.2","-2",1634615,3,18,39,62.8447970928935,81,1000722,787.599376333943,186,333,"Q100","Q100","Q100"
"NC_072389.2","-3",1635100,3,18,39,62.8240199376184,81,1000962,787.559271181316,186,333,"Q100","Q100","Q100"
"NC_072390.2","1",1524344,3,15,36,59.5108545052823,75,10302,90.8400573489723,177,324,"Q100","Q100","Q100"
"NC_072390.2","2",1527685,3,15,36,59.3727856200722,75,6117,90.374604768477,174,321,"Q100","Q100","Q100"
"NC_072390.2","3",1524291,3,15,36,59.5103264402926,75,8298,90.8046691246992,177,324,"Q100","Q100","Q100"
"NC_072390.2","-1",1535320,3,15,39,59.0703364770863,78,5208,82.131175326462,177,312,"Q100","Q100","Q100"
"NC_072390.2","-2",1534706,3,15,39,59.0965605138704,78,10239,82.6386271474045,174,312,"Q100","Q100","Q100"
"NC_072390.2","-3",1535349,3,15,39,59.0702198653205,75,8193,83.1113757708896,174,312,"Q100","Q100","Q100"
"NC_072391.2","1",1309626,3,18,42,63.594995823235,84,8928,73.7507991252034,195,333,"Q100","Q100","Q100"
"NC_072391.2","2",1306111,3,18,42,63.774658509116,84,11307,75.2447552278075,195,333,"Q100","Q100","Q100"
"NC_072391.2","3",1306242,3,18,42,63.7696330389009,84,11991,76.150515232215,195,336,"Q100","Q100","Q100"
"NC_072391.2","-1",1308963,3,18,42,63.6315594864026,84,6078,74.4452955016542,195,333,"Q100","Q100","Q100"
"NC_072391.2","-2",1308189,3,18,42,63.6701699830835,84,9831,75.0088261984471,195,333,"Q100","Q100","Q100"
"NC_072391.2","-3",1309795,3,18,42,63.5853549601273,84,11505,75.4296522705112,195,333,"Q100","Q100","Q100"
"NC_072392.2","1",1468830,3,18,42,65.9307503250887,84,7380,82.3582726665358,204,360,"Q100","Q100","Q100"
"NC_072392.2","2",1468961,3,18,42,65.9242798140999,84,7302,81.8871053182526,204,360,"Q100","Q100","Q100"
"NC_072392.2","3",1473021,3,18,42,65.7340730376553,84,5577,82.0859913807479,204,360,"Q100","Q100","Q100"
"NC_072392.2","-1",1472231,3,18,42,65.7865443670185,87,6210,78.1036585657107,204,354,"Q100","Q100","Q100"
"NC_072392.2","-2",1473909,3,18,42,65.7078306733998,87,5676,77.9891135968351,204,354,"Q100","Q100","Q100"
"NC_072392.2","-3",1470860,3,18,42,65.8496940565383,87,7302,78.3155677985394,204,354,"Q100","Q100","Q100"
"NC_072393.2","1",882763,3,21,45,70.7598177540291,93,14997,85.3085412050262,216,378,"Q100","Q100","Q100"
"NC_072393.2","2",877628,3,21,45,71.1889524946788,93,7653,85.2931569740018,216,378,"Q100","Q100","Q100"
"NC_072393.2","3",876934,3,21,45,71.2499663600682,93,7884,84.0530530983375,219,381,"Q100","Q100","Q100"
"NC_072393.2","-1",861733,3,21,45,72.5737322349266,96,6135,85.8669884081856,228,387,"Q100","Q100","Q100"
"NC_072393.2","-2",858922,3,21,45,72.8207613729768,96,6915,87.0229345424811,228,387,"Q100","Q100","Q100"
"NC_072393.2","-3",858187,3,21,45,72.8849924317194,96,16659,88.320997126382,225,384,"Q100","Q100","Q100"
"NC_072394.2","1",1014964,3,18,42,62.8897497842288,84,3852,70.7153346666215,189,321,"Q100","Q100","Q100"
"NC_072394.2","2",1014001,3,18,42,62.9507505416661,84,32379,77.5664378809149,189,321,"Q100","Q100","Q100"
"NC_072394.2","3",1013281,3,18,42,62.9988700074313,84,30342,76.8083523992598,189,321,"Q100","Q100","Q100"
"NC_072394.2","-1",1019832,3,18,42,62.5409332125291,81,32328,78.3478096052522,189,327,"Q100","Q100","Q100"
"NC_072394.2","-2",1026775,3,18,42,62.0946799444864,81,5643,71.2983353668132,186,324,"Q100","Q100","Q100"
"NC_072394.2","-3",1023873,3,18,42,62.27774343107,81,30342,76.8356130811246,189,327,"Q100","Q100","Q100"
"NC_072395.2","1",819381,3,18,39,69.6701485633668,81,1000125,1111.7005308268,201,444.59999999986,"Q100","Q100","Q100"
"NC_072395.2","2",820734,3,18,39,69.5535654670088,81,1000083,1110.85951765463,201,444,"Q100","Q100","Q100"
"NC_072395.2","3",820243,3,18,39,69.5934509651409,81,1000125,1111.2362073668,201,447,"Q100","Q100","Q100"
"NC_072395.2","-1",830808,3,18,39,68.6756675429221,81,1000065,1103.53320257503,198,417,"Q100","Q100","Q100"
"NC_072395.2","-2",831099,3,18,39,68.6510138984646,81,1000107,1103.32730869689,198,417,"Q100","Q100","Q100"
"NC_072395.2","-3",831465,3,18,39,68.6205913658422,81,1000095,1102.90262060603,198,414,"Q100","Q100","Q100"
"NC_072396.2","1",2740676,3,15,36,55.557355557534,75,10161,65.7043445246873,168,285,"Q100","Q100","Q100"
"NC_072396.2","2",2747424,3,15,36,55.4142564089125,72,7512,64.1949023539534,168,282,"Q100","Q100","Q100"
"NC_072396.2","3",2741917,3,15,36,55.5314161588407,75,4260,64.2345931940605,168,285,"Q100","Q100","Q100"
"NC_072396.2","-1",2749104,3,15,36,55.3753695749597,75,7029,64.3023890917716,168,279,"Q100","Q100","Q100"
"NC_072396.2","-2",2746746,3,15,36,55.4245521791968,75,10101,64.7660777593603,168,279,"Q100","Q100","Q100"
"NC_072396.2","-3",2754826,3,15,36,55.2554034265685,72,6360,63.7467024720789,168,279,"Q100","Q100","Q100"
"NC_072397.2","1",707393,3,15,39,66.6929231700059,78,15381,122.127094932278,195,462,"Q100","Q100","Q100"
"NC_072397.2","2",708567,3,15,39,66.5813070605885,78,7860,120.952884473256,192,459,"Q100","Q100","Q100"
"NC_072397.2","3",706866,3,15,39,66.7478206619076,78,16620,121.361061524029,195,459,"Q100","Q100","Q100"
"NC_072397.2","-1",756037,3,15,39,62.2137831878599,78,7860,90.7621704847493,186,339,"Q100","Q100","Q100"
"NC_072397.2","-2",754576,3,15,39,62.3401976739255,78,6273,92.2360712865557,186,339,"Q100","Q100","Q100"
"NC_072397.2","-3",757103,3,18,39,62.1203191639711,78,7041,91.2189163561031,186,336,"Q100","Q100","Q100"
"NC_085930.1","1",3593974,3,15,36,55.1036810505585,72,7671,61.9735451891217,168,282,"Q100","Q100","Q100"
"NC_085930.1","2",3591962,3,15,36,55.1366787844637,72,4365,61.8194148161975,168,282,"Q100","Q100","Q100"
"NC_085930.1","3",3594243,3,15,36,55.0994212133125,72,8196,62.1179383546562,168,282,"Q100","Q100","Q100"
"NC_085930.1","-1",3611367,3,15,36,54.8151835579159,72,8196,61.8411257310865,168,276,"Q100","Q100","Q100"
"NC_085930.1","-2",3609890,3,15,36,54.8395269661956,72,5190,61.2552710032018,168,273,"Q100","Q100","Q100"
"NC_085930.1","-3",3606643,3,15,36,54.8911103760477,72,7671,61.3665210100838,168,273,"Q100","Q100","Q100"
"NC_085931.1","1",727811,3,21,48,82.1260904273225,96,1000230,1180.86407587401,240,543,"Q100","Q100","Q100"
"NC_085931.1","2",730898,3,21,48,81.7649193184275,96,1000059,1178.09010435613,240,540,"Q100","Q100","Q100"
"NC_085931.1","3",729092,3,21,48,81.9703549071996,96,1000209,1179.78613202859,240,540,"Q100","Q100","Q100"
"NC_085931.1","-1",749251,3,21,45,79.6949473540909,96,1000533,1162.76060291511,237,483,"Q100","Q100","Q100"
"NC_085931.1","-2",748703,3,21,45,79.7530689739456,96,1000209,1163.10651834316,237,480,"Q100","Q100","Q100"
"NC_085931.1","-3",747101,3,21,48,79.9326864774642,96,1000098,1164.07243119404,237,480,"Q100","Q100","Q100"
